"country","genre","count"
"United States of America","Action","1146"
"France","Action","55"
"Japan","Action","328"
"United Kingdom","Action","90"
"South Korea","Action","160"
"United States of America","Adventure","587"
"United Kingdom","Adventure","40"
"France","Adventure","48"
"Japan","Adventure","187"
"South Korea","Adventure","19"
"United States of America","Animation","526"
"Japan","Animation","472"
"France","Animation","25"
"United Kingdom","Animation","23"
"South Korea","Animation","13"
"United States of America","Comedy","1781"
"France","Comedy","330"
"United Kingdom","Comedy","125"
"Japan","Comedy","184"
"South Korea","Comedy","98"
"United States of America","Crime","586"
"France","Crime","43"
"United Kingdom","Crime","56"
"South Korea","Crime","103"
"Japan","Crime","67"
"United States of America","Documentary","431"
"United Kingdom","Documentary","74"
"France","Documentary","26"
"Japan","Documentary","8"
"South Korea","Documentary","11"
"United States of America","Drama","1897"
"United Kingdom","Drama","224"
"Japan","Drama","365"
"France","Drama","292"
"South Korea","Drama","411"
"United States of America","Family","615"
"France","Family","32"
"Japan","Family","72"
"United Kingdom","Family","42"
"South Korea","Family","11"
"United States of America","Fantasy","473"
"United Kingdom","Fantasy","34"
"France","Fantasy","30"
"Japan","Fantasy","228"
"South Korea","Fantasy","28"
"United States of America","History","137"
"United Kingdom","History","33"
"France","History","17"
"South Korea","History","39"
"Japan","History","19"
"United States of America","Horror","1044"
"United Kingdom","Horror","148"
"South Korea","Horror","43"
"France","Horror","27"
"Japan","Horror","95"
"United States of America","Music","223"
"South Korea","Music","14"
"United Kingdom","Music","28"
"Japan","Music","26"
"France","Music","11"
"United States of America","Mystery","457"
"France","Mystery","18"
"Japan","Mystery","92"
"South Korea","Mystery","53"
"United Kingdom","Mystery","46"
"United Kingdom","Romance","74"
"United States of America","Romance","687"
"South Korea","Romance","376"
"France","Romance","95"
"Japan","Romance","131"
"United States of America","Science Fiction","628"
"Japan","Science Fiction","191"
"United Kingdom","Science Fiction","53"
"South Korea","Science Fiction","19"
"France","Science Fiction","12"
"United States of America","TV Movie","326"
"United Kingdom","TV Movie","30"
"Japan","TV Movie","13"
"France","TV Movie","10"
"United States of America","Thriller","1354"
"United Kingdom","Thriller","136"
"France","Thriller","74"
"South Korea","Thriller","160"
"Japan","Thriller","79"
"United States of America","War","72"
"Japan","War","19"
"United Kingdom","War","18"
"South Korea","War","18"
"France","War","6"
"United States of America","Western","70"
"Japan","Western","1"
"France","Western","1"
